```csv
S.No,Item Code,Item Name,Activity Name,Resource Type,Category Name
1,101,Gas Cutters,SEARCH AND RESCUE,Equipment,Cutters
2,102,Cold Cutters,SEARCH AND RESCUE,Equipment,Cutters
3,103,Bolt Cutters (Shears),SEARCH AND RESCUE,Equipment,Cutters
4,110,Cutters- Hydraulic,SEARCH AND RESCUE,Equipment,Cutters
5,111,Cutters-Battery,SEARCH AND RESCUE,Equipment,Cutters
6,355,Steel Cutter/Grinder,SEARCH AND RESCUE,Equipment,Cutters
7,104,Electric Drill,SEARCH AND RESCUE,Equipment,Cutters
8,105,Circular Saw with Diamond Blade(Electric),SEARCH AND RESCUE,Equipment,Cutters
9,106,Chipping Hammer,SEARCH AND RESCUE,Equipment,Cutters
10,107,Chain Saw-Diamond,SEARCH AND RESCUE,Equipment,Cutters
11,108,Chain Saw-Bullet,SEARCH AND RESCUE,Equipment,Cutters
12,109,Pneumatic Chisel,SEARCH AND RESCUE,Equipment,Cutters
13,112,Spreaders-Hydraulic,SEARCH AND RESCUE,Equipment,Spreaders
14,113,Spreaders-Battery,SEARCH AND RESCUE,Equipment,Spreaders
15,114,Air Lifting bags (Different capacity)/Tools,SEARCH AND RESCUE,Equipment,Lifting Equipment
16,115,Jack with 5 ton lift,SEARCH AND RESCUE,Equipment,Lifting Equipment
17,116,Iron shod levers 10 ft. Long,SEARCH AND RESCUE,Equipment,Lifting Equipment
18,117,Sledge hammer,SEARCH AND RESCUE,Equipment,Light Equipment
19,118,Heavy Axe,SEARCH AND RESCUE,Equipment,Light Equipment
20,119,Two handled cross cut-saw,SEARCH AND RESCUE,Equipment,Light Equipment
21,120,Chain tackle,SEARCH AND RESCUE,Equipment,Light Equipment
22,121,Single sheave snatch block,SEARCH AND RESCUE,Equipment,Light Equipment
23,122,Smoke Blower and Exhauster,SEARCH AND RESCUE,Equipment,Light Equipment
24,123,Set of rope tackle (3 sheave - 2 sheave),SEARCH AND RESCUE,Equipment,Light Equipment
25,124,Gloves-Rubber Tested up to 25000 volt,SEARCH AND RESCUE,Equipment,Light Equipment
26,125,Stretcher harness (set),SEARCH AND RESCUE,Equipment,Light Equipment
27,126,Scaffold poles for sheer legs,SEARCH AND RESCUE,Equipment,Light Equipment
28,127,Jumping Cushions,SEARCH AND RESCUE,Equipment,Light Equipment
29,128,Rescue Rams,SEARCH AND RESCUE,Equipment,Light Equipment
30,129,Glass remover (Punch Mark),SEARCH AND RESCUE,Equipment,Light Equipment
31,130,Crescent/adjustable wrenches,SEARCH AND RESCUE,Equipment,Light Equipment
32,131,Slotted Screwdrivers,SEARCH AND RESCUE,Equipment,Light Equipment
33,132,Traps 4 X 4 meters,SEARCH AND RESCUE,Equipment,Light Equipment
34,133,Blankets,SEARCH AND RESCUE,Equipment,Light Equipment
35,134,Lifting tackle - 3 ton,SEARCH AND RESCUE,Equipment,Light Equipment
36,135,Chains - 6 feet (3 ton lift),SEARCH AND RESCUE,Equipment,Light Equipment
37,136,Aspects Blanket,SEARCH AND RESCUE,Equipment,Light Equipment
38,137,Soaking kit,SEARCH AND RESCUE,Equipment,Light Equipment
39,330,Shovel,SEARCH AND RESCUE,Equipment,Light Equipment
40,331,Spade,SEARCH AND RESCUE,Equipment,Light Equipment
41,332,Crow bar,SEARCH AND RESCUE,Equipment,Light Equipment
42,333,Heavy Block of Fulcrum,SEARCH AND RESCUE,Equipment,Light Equipment
