ID,ORG_CODE,ORG_SHORTNAME,ORG_TYPE,ORG_NAME,REPORT_ORG
145,AG001,ASK,AO,"Agricultural Technology Management Agency (ATMA), Srikakulam",AGC01
146,AG002,AVZ,AO,"Agricultural Technology Management Agency (ATMA), Vizianagaram",AGC01
147,AG003,AVS,AO,"Agricultural Technology Management Agency (ATMA), Visakhapatnam",AGC01
148,AG004,AEG,AO,"Agricultural Technology Management Agency (ATMA), East Godavari",AGC01
149,AG005,AWG,AO,"Agricultural Technology Management Agency (ATMA), West Godavari",AGC01
150,AG006,AKR,AO,"Agricultural Technology Management Agency (ATMA), Krishna",AGC01
151,AG007,AGN,AO,"Agricultural Technology Management Agency (ATMA), Guntur",AGC01
152,AG008,APR,AO,"Agricultural Technology Management Agency (ATMA), Prakasam",AGC01
153,AG009,ANL,AO,"Agricultural Technology Management Agency (ATMA), SPR Nellore",AGC01
154,AG010,ACT,AO,"Agricultural Technology Management Agency (ATMA), Chittoor",AGC01
155,AG011,AKD,AO,"Agricultural Technology Management Agency (ATMA), YSR Kadapa",AGC01
156,AG012,AAP,AO,"Agricultural Technology Management Agency (ATMA), Anantapuramu",AGC01
157,AG013,AKN,AO,"Agricultural Technology Management Agency (ATMA), Kurnool",AGC01
158,AG101,MAV,AO,"Agriculture Market Committee, Amadalavalasa",AGC05
159,AG102,MPD,AO,"Agriculture Market Committee, Ponduru",AGC05
160,AG103,MRJ,AO,"Agriculture Market Committee, Rajam",AGC05
161,AG104,MPK,AO,"Agriculture Market Committee, Palakonda",AGC05
162,AG105,MHM,AO,"Agriculture Market Committee, Hiramandalam",AGC05
163,AG106,MPP,AO,"Agriculture Market Committee, Pathapatnam",AGC05
164,AG107,MNP,AO,"Agriculture Market Committee, Narasannapeta",AGC05
165,AG108,MKT,AO,"Agriculture Market Committee, Kotabommali",AGC05
166,AG109,MPS,AO,"Agriculture Market Committee, Palasa",AGC05
167,AG110,MKC,AO,"Agriculture Market Committee, Kanchili",AGC05
168,AG111,MIP,AO,"Agriculture Market Committee, Ichapuram",AGC05
169,AG112,MJM,AO,"Agriculture Market Committee, Jalumuru (New)",AGC05
170,AG113,MER,AO,"Agriculture Market Committee, Etcherla (New)",AGC05
171,AG114,MVZ,AO,"Agriculture Market Committee, Vizianagaram",AGC05
172,AG115,MPV,AO,"Agriculture Market Committee, Parvathipuram",AGC05
173,AG116,MBB,AO,"Agriculture Market Committee, Bobbili",AGC05
174,AG117,MSL,AO,"Agriculture Market Committee, Saluru",AGC05
175,AG118,MGJ,AO,"Agriculture Market Committee, Gajapathinagaram",AGC05
176,AG119,MCP,AO,"Agriculture Market Committee, Cheepurupalli",AGC05
177,AG120,MKV,AO,"Agriculture Market Committee, Kothavalasa",AGC05
178,AG121,MKR,AO,"Agriculture Market Committee, Kurupam",AGC05
179,AG122,MPU,AO,"Agriculture Market Committee, Pusapatirega",AGC05
180,AG123,MVS,AO,"Agriculture Market Committee, Visakhapatnam",AGC05
181,AG124,MAP,AO,"Agriculture Market Committee, Anakapalli",AGC05
182,AG125,MNS,AO,"Agriculture Market Committee, Narsipatnam",AGC05
183,AG126,MBM,AO,"Agriculture Market Committee, Bheemunipatnam",AGC05
184,AG127,MYM,AO,"Agriculture Market Committee, Yelamanchili",AGC05
185,AG128,MPR,AO,"Agriculture Market Committee, Paderu",AGC05
186,AG129,MCT,AO,"Agriculture Market Committee, Chintapalli",AGC05
187,AG130,MCD,AO,"Agriculture Market Committee, Chodavaram",AGC05
188,AG131,MAL,AO,"Agriculture Market Committee, Alamuru",AGC05
189,AG132,MKO,AO,"Agriculture Market Committee, Kothapeta",AGC05
190,AG133,MAT,AO,"Agriculture Market Committee, Anaparthy ",AGC05
191,AG134,MAB,AO,"Agriculture Market Committee, Ambajipeta ",AGC05
192,AG135,MRM,AO,"Agriculture Market Committee, Rajahmundry ",AGC05
193,AG136,MTR,AO,"Agriculture Market Committee, Tallarevu",AGC05
194,AG137,MRP,AO,"Agriculture Market Committee, Ramachandra Puram ",AGC05
195,AG138,MAW,AO,"Agriculture Market Committee, Allavaram",AGC05
196,AG139,MRZ,AO,"Agriculture Market Committee, Razole",AGC05
197,AG140,MMR,AO,"Agriculture Market Committee, Mummidivaram ",AGC05
198,AG141,MTU,AO,"Agriculture Market Committee, Tuni",AGC05
199,AG142,MPI,AO,"Agriculture Market Committee, Pithapuram ",AGC05
200,AG143,MSM,AO,"Agriculture Market Committee, Sampara (HQ) Nadakuduru",AGC05
