State,StCodeAP,StCodeInd,District,DstCodeAP,DstCodeInd,Mandal,MndCodeAP,MndCodeInd,Village,VillCodeAP,VillCodeIn,Shape_Area
Andhra Pradesh,28,28,Anantapuramu,21,553,Gooty,06,05310,Utakallu,002,594739,13.56812869730
Andhra Pradesh,28,28,Anantapuramu,21,553,Guntakal,05,05309,Sangala,004,594721,7.01858771204
Andhra Pradesh,28,28,Anantapuramu,21,553,Guntakal,05,05309,Kasapuram,003,594720,26.71621250520
Andhra Pradesh,28,28,Anantapuramu,21,553,Guntakal,05,05309,Konganapalle,007,594725,26.90728458170
Andhra Pradesh,28,28,Anantapuramu,21,553,Guntakal,05,05309,Sankarabanda,008,594726,7.74769917591
Andhra Pradesh,28,28,Anantapuramu,21,553,Guntakal,05,05309,Gundala,006,594723,14.40329489800
Andhra Pradesh,28,28,Anantapuramu,21,553,Gooty,06,05310,Ubicherla,003,594740,19.60005912870
Andhra Pradesh,28,28,Anantapuramu,21,553,Guntakal,05,05309,Dosaludiki,005,594722,10.70663682680
Andhra Pradesh,28,28,Anantapuramu,21,553,Gooty,06,05310,Bethapalle,001,594738,13.38321034750
Andhra Pradesh,28,28,Anantapuramu,21,553,Guntakal,05,05309,Obulapuram,009,594727,8.38286559241
Andhra Pradesh,28,28,Anantapuramu,21,553,Guntakal,05,05309,Thimmanacherla,002,NA,12.54957056110
Andhra Pradesh,28,28,Anantapuramu,21,553,Guntakal,05,05309,Ameenpalle,012,594724,4.38865852738
Andhra Pradesh,28,28,Anantapuramu,21,553,Guntakal,05,05309,Patha Kothachervu,011,594729,25.00655296010
Andhra Pradesh,28,28,Anantapuramu,21,553,Gooty,06,05310,Karadikonda,004,594741,17.67594261120
Andhra Pradesh,28,28,Anantapuramu,21,553,Guntakal,05,05309,Nakkanadoddi,013,594730,18.02162807770
Andhra Pradesh,28,28,Anantapuramu,21,553,Gooty,06,05310,Basinepalle,007,594743,8.78460964181
Andhra Pradesh,28,28,Anantapuramu,21,553,Gooty,06,05310,Dharmapuram,005,594742,7.25621992860
Andhra Pradesh,28,28,Anantapuramu,21,553,Guntakal,05,05309,Guntakal Rural,001,594732,35.94514789990
Andhra Pradesh,28,28,Anantapuramu,21,553,Gooty,06,05310,Chetnepalle,006,NA,12.05507681630
Andhra Pradesh,28,28,Anantapuramu,21,553,Yadiki,08,05312,Konuppalapadu,005,594794,34.37766125240
Andhra Pradesh,28,28,Anantapuramu,21,553,Guntakal,05,05309,Yerrathimmaraju Cheruvu,010,594728,18.73171254460
Andhra Pradesh,28,28,Anantapuramu,21,553,Guntakal,05,05309,Thimmapuram,014,594731,15.84521792070
Andhra Pradesh,28,28,Anantapuramu,21,553,Vidapanakal,03,05308,Donekal,001,594706,28.38729472050
Andhra Pradesh,28,28,Anantapuramu,21,553,Gooty,06,05310,Kojjepalle,008,594744,10.18440874540
Andhra Pradesh,28,28,Anantapuramu,21,553,Vidapanakal,03,05308,Hanchanahal,004,594709,22.89069099910
Andhra Pradesh,28,28,Anantapuramu,21,553,Vidapanakal,03,05308,Kadadarabenchi,002,594707,8.06282789069
Andhra Pradesh,28,28,Anantapuramu,21,553,Gooty,06,05310,Jakkalacheruvu,023,594759,29.10546339100
Andhra Pradesh,28,28,Anantapuramu,21,553,Gooty,06,05310,Kothapeta,020,594756,20.40889643360
Andhra Pradesh,28,28,Anantapuramu,21,553,Vajrakarur,04,05316,Konakondla,001,594865,56.54555146630
Andhra Pradesh,28,28,Anantapuramu,21,553,Vidapanakal,03,05308,Gadekal,003,594708,29.70849829700
Andhra Pradesh,28,28,Anantapuramu,21,553,Guntakal,05,05309,Dancherla,017,594735,19.42455675370
Andhra Pradesh,28,28,Anantapuramu,21,553,Gooty,06,05310,Thondapadu,022,594758,13.71088735190
Andhra Pradesh,28,28,Anantapuramu,21,553,Guntakal,05,05309,Donimukkala,015,594733,12.44315303990
Andhra Pradesh,28,28,Anantapuramu,21,553,Gooty,06,05310,Rajapuram,009,594745,5.35662216270
Andhra Pradesh,28,28,Anantapuramu,21,553,Gooty,06,05310,Gooty Rural,019,"594755
",22.88050966130
Andhra Pradesh,28,28,Anantapuramu,21,553,Guntakal,05,05309,Nelagonda,016,594734,46.79055820050
Andhra Pradesh,28,28,Anantapuramu,21,553,Yadiki,08,05312,Chandana,002,594785,44.22557823280
Andhra Pradesh,28,28,Anantapuramu,21,553,Vidapanakal,03,05308,Vidapanakal,008,594713,55.51826977660
Andhra Pradesh,28,28,Anantapuramu,21,553,Gooty,06,05310,Marnepalle,010,594746,8.31193914128
Andhra Pradesh,28,28,Anantapuramu,21,553,Yadiki,08,05312,Gudipadu,008,594796,39.69453893990
Andhra Pradesh,28,28,Anantapuramu,21,553,Yadiki,08,05312,Yadiki,003,594792,59.77856032180
Andhra Pradesh,28,28,Anantapuramu,21,553,Gooty,06,05310,Peddoddi,011,594747,26.60374245950
Andhra Pradesh,28,28,Anantapuramu,21,553,Gooty,06,05310,Engilibanda,021,594757,6.85605802423
Andhra Pradesh,28,28,Anantapuramu,21,553,Yadiki,08,05312,Kamalapadu,006,594797,34.38752770540
Andhra Pradesh,28,28,Anantapuramu,21,553,Yadiki,08,05312,Kundanakota,007,594795,10.79398430470
Andhra Pradesh,28,28,Anantapuramu,21,553,Peddavadugur,07,05311,Appecherla,004,594764,32.54262778420
Andhra Pradesh,28,28,Anantapuramu,21,553,Vidapanakal,03,05308,Velpumadugu,007,594712,42.79584137190
Andhra Pradesh,28,28,Anantapuramu,21,553,D.Hirehal,01,05304,H.Siddapuram,002,594642,18.27095404530
Andhra Pradesh,28,28,Anantapuramu,21,553,Vajrakarur,04,05316,Gulapalem,002,594866,22.68294371070
Andhra Pradesh,28,28,Anantapuramu,21,553,Vidapanakal,03,05308,Poliki,005,594710,26.32163366600
