State,StCodeAP,StCodeInd,District,DstCodeAP,DstCodeInd,Mandal,MndCodeAP,MndCodeInd
Andhra Pradesh,28,28,Anantapuramu,21,553,Gooty,06,05310
Andhra Pradesh,28,28,Anantapuramu,21,553,Guntakal,05,05309
Andhra Pradesh,28,28,Anantapuramu,21,553,Yadiki,08,05312
Andhra Pradesh,28,28,Anantapuramu,21,553,Vidapanakal,03,05308
Andhra Pradesh,28,28,Anantapuramu,21,553,Vajrakarur,04,05316
Andhra Pradesh,28,28,Anantapuramu,21,553,Peddavadugur,07,05311
Andhra Pradesh,28,28,Anantapuramu,21,553,D.Hirehal,01,05304
Andhra Pradesh,28,28,Anantapuramu,21,553,Pamidi,12,05315
Andhra Pradesh,28,28,Anantapuramu,21,553,Tadpatri,09,05313
Andhra Pradesh,28,28,Anantapuramu,21,553,Bommanahal,02,05307
Andhra Pradesh,28,28,Anantapuramu,21,553,Peddapappur,10,05314
Andhra Pradesh,28,28,Anantapuramu,21,553,Uravakonda,15,05317
Andhra Pradesh,28,28,Anantapuramu,21,553,Garladinne,13,05324
Andhra Pradesh,28,28,Anantapuramu,21,553,Singanamala,11,05325
Andhra Pradesh,28,28,Anantapuramu,21,553,Kanekal,16,05306
Andhra Pradesh,28,28,Anantapuramu,21,553,Kudair,14,05323
Andhra Pradesh,28,28,Anantapuramu,21,553,Putlur,30,05326
Andhra Pradesh,28,28,Anantapuramu,21,553,Narpala,29,05328
Andhra Pradesh,28,28,Anantapuramu,21,553,Rayadurg,17,05305
Andhra Pradesh,28,28,Anantapuramu,21,553,Bukkaraya  Samudram,28,05329
Andhra Pradesh,28,28,Anantapuramu,21,553,Beluguppa,24,05318
Andhra Pradesh,28,28,Anantapuramu,21,553,Anantapuramu,27,05330
Andhra Pradesh,28,28,Anantapuramu,21,553,Yellanur,31,05327
Andhra Pradesh,28,28,Anantapuramu,21,553,Gummagatta,18,05319
Andhra Pradesh,28,28,Anantapuramu,21,553,Atmakur,25,05322
Andhra Pradesh,28,28,Anantapuramu,21,553,Brahmasamudram,19,05320
Andhra Pradesh,28,28,Anantapuramu,21,553,Kalyandurg,23,05321
Andhra Pradesh,28,28,Sri Sathya Sai,22,754,Tadimarri,01,05338
Andhra Pradesh,28,28,Anantapuramu,21,553,Raptadu,26,05331
Andhra Pradesh,28,28,Sri Sathya Sai,22,754,Bathalapalle,03,05337
Andhra Pradesh,28,28,Sri Sathya Sai,22,754,Kanaganapalle,05,05335
Andhra Pradesh,28,28,Anantapuramu,21,553,Settur,20,05332
Andhra Pradesh,28,28,Sri Sathya Sai,22,754,Mudigubba,02,05339
Andhra Pradesh,28,28,Sri Sathya Sai,22,754,Dharmavaram,04,05336
Andhra Pradesh,28,28,Anantapuramu,21,553,Kambadur,22,05334
Andhra Pradesh,28,28,Anantapuramu,21,553,Kundurpi,21,05333
Andhra Pradesh,28,28,Sri Sathya Sai,22,754,Ramagiri,06,05348
Andhra Pradesh,28,28,Sri Sathya Sai,22,754,Chennekothapalle,07,05347
Andhra Pradesh,28,28,Sri Sathya Sai,22,754,Bukkapatnam,08,05345
Andhra Pradesh,28,28,Sri Sathya Sai,22,754,Talupula,11,05340
Andhra Pradesh,28,28,Sri Sathya Sai,22,754,Kadiri,10,05343
Andhra Pradesh,28,28,Sri Sathya Sai,22,754,Kothacheruvu,19,05346
Andhra Pradesh,28,28,Sri Sathya Sai,22,754,Nallamada,09,05344
Andhra Pradesh,28,28,Sri Sathya Sai,22,754,Penukonda,20,05356
Andhra Pradesh,28,28,Sri Sathya Sai,22,754,Amarapuram,22,05351
Andhra Pradesh,28,28,Sri Sathya Sai,22,754,Nambulipulikunta,12,05341
Andhra Pradesh,28,28,Sri Sathya Sai,22,754,Puttaparthi,18,05357
Andhra Pradesh,28,28,Sri Sathya Sai,22,754,Roddam,21,05349
Andhra Pradesh,28,28,Sri Sathya Sai,22,754,Gandlapenta,13,05342
Andhra Pradesh,28,28,Sri Sathya Sai,22,754,Obuladevaracheruvu,17,05358
Andhra Pradesh,28,28,Sri Sathya Sai,22,754,Gorantla,30,05362
Andhra Pradesh,28,28,Sri Sathya Sai,22,754,Nallacheruvu,14,05359
Andhra Pradesh,28,28,Sri Sathya Sai,22,754,Gudibanda,23,05352
Andhra Pradesh,28,28,Sri Sathya Sai,22,754,Somandepalle,29,05363
Andhra Pradesh,28,28,Sri Sathya Sai,22,754,Madakasira,26,05350
Andhra Pradesh,28,28,Sri Sathya Sai,22,754,Amadagur,16,05361
Andhra Pradesh,28,28,Sri Sathya Sai,22,754,Parigi,27,05355
Andhra Pradesh,28,28,Sri Sathya Sai,22,754,Tanakal,15,05360
Andhra Pradesh,28,28,Sri Sathya Sai,22,754,Rolla,24,05353
Andhra Pradesh,28,28,Sri Sathya Sai,22,754,Hindupur,28,05364
Andhra Pradesh,28,28,Sri Sathya Sai,22,754,Chilamathur,31,05366
Andhra Pradesh,28,28,Sri Sathya Sai,22,754,Agali,25,05354
Andhra Pradesh,28,28,Sri Sathya Sai,22,754,Lepakshi,32,05365
Andhra Pradesh,28,28,Alluri Sitharama Raju,04,745,Y.Ramavaram,22,04886
Andhra Pradesh,28,28,Alluri Sitharama Raju,04,745,Rajavommangi,12,04888
Andhra Pradesh,28,28,Alluri Sitharama Raju,04,745,Addateegala,13,04887
Andhra Pradesh,28,28,Alluri Sitharama Raju,04,745,Maredumilli,21,04884
Andhra Pradesh,28,28,Kakinada,07,746,Kotananduru,01,04889
Andhra Pradesh,28,28,Alluri Sitharama Raju,04,745,Gangavaram,14,04894
Andhra Pradesh,28,28,Alluri Sitharama Raju,04,745,Rampachodavaram,15,04895
Andhra Pradesh,28,28,Kakinada,07,746,Rowthulapudi,03,04891
Andhra Pradesh,28,28,Kakinada,07,746,Tuni,02,04890
Andhra Pradesh,28,28,Alluri Sitharama Raju,04,745,Devipatnam,16,04885
Andhra Pradesh,28,28,Kakinada,07,746,Sankhavaram,04,04892
Andhra Pradesh,28,28,Kakinada,07,746,Prathipadu,08,04900
Andhra Pradesh,28,28,Kakinada,07,746,Yeleswaram,09,04893
Andhra Pradesh,28,28,East Godavari,09,545,Gokavaram,01,04897
Andhra Pradesh,28,28,Kakinada,07,746,Thondangi,05,04901
Andhra Pradesh,28,28,Kakinada,07,746,Jaggampeta,10,04898
Andhra Pradesh,28,28,East Godavari,09,545,Seethanagaram,10,04896
Andhra Pradesh,28,28,Kakinada,07,746,Gollaprolu,07,04902
Andhra Pradesh,28,28,East Godavari,09,545,Korukonda,02,04905
Andhra Pradesh,28,28,Kakinada,07,746,Kirlampudi,13,04899
Andhra Pradesh,28,28,Kakinada,07,746,Pithapuram,14,04911
Andhra Pradesh,28,28,Kakinada,07,746,Gandepalle,11,04904
Andhra Pradesh,28,28,East Godavari,09,545,Rajanagaram,03,04908
Andhra Pradesh,28,28,Kakinada,07,746,Kothapalle,06,04912
Andhra Pradesh,28,28,Kakinada,07,746,Peddapuram,12,04903
Andhra Pradesh,28,28,East Godavari,09,545,Rangampeta,04,04909
Andhra Pradesh,28,28,East Godavari,09,545,Rajahmundry (Rural),08,04907
Andhra Pradesh,28,28,Kakinada,07,746,Samalkota,15,04910
Andhra Pradesh,28,28,Kakinada,07,746,Kakinada (Rural),16,04913
Andhra Pradesh,28,28,East Godavari,09,545,Biccavolu,05,04916
Andhra Pradesh,28,28,Kakinada,07,746,Pedapudi,18,04915
Andhra Pradesh,28,28,Dr.B.R.Ambedkar Konaseema,08,747,Mandapeta,03,04920
Andhra Pradesh,28,28,East Godavari,09,545,Anaparthy,06,04917
Andhra Pradesh,28,28,Kakinada,07,746,Karapa,19,04922
Andhra Pradesh,28,28,Dr.B.R.Ambedkar Konaseema,08,747,Atreyapuram,01,04919
Andhra Pradesh,28,28,East Godavari,09,545,Kadiam,07,04918
Andhra Pradesh,28,28,Dr.B.R.Ambedkar Konaseema,08,747,Rayavaram,04,04921
Andhra Pradesh,28,28,Dr.B.R.Ambedkar Konaseema,08,747,Ramachandrapuram,05,04924
Andhra Pradesh,28,28,Kakinada,07,746,Thallarevu,21,04930
Andhra Pradesh,28,28,Dr.B.R.Ambedkar Konaseema,08,747,Alamuru,02,04925
Andhra Pradesh,28,28,Kakinada,07,746,Kajuluru,20,04923
Andhra Pradesh,28,28,Dr.B.R.Ambedkar Konaseema,08,747,Kapileswarapuram,07,04928
Andhra Pradesh,28,28,Dr.B.R.Ambedkar Konaseema,08,747,Pamarru,06,04929
Andhra Pradesh,28,28,Dr.B.R.Ambedkar Konaseema,08,747,Ravulapalem,08,04926
Andhra Pradesh,28,28,Dr.B.R.Ambedkar Konaseema,08,747,Katrenikona,13,04943
Andhra Pradesh,28,28,Dr.B.R.Ambedkar Konaseema,08,747,Kothapeta,09,04927
Andhra Pradesh,28,28,Dr.B.R.Ambedkar Konaseema,08,747,Ainavilli,10,04933
Andhra Pradesh,28,28,Dr.B.R.Ambedkar Konaseema,08,747,I. Polavaram,12,04931
Andhra Pradesh,28,28,Dr.B.R.Ambedkar Konaseema,08,747,Mummidivaram,11,04932
Andhra Pradesh,28,28,Dr.B.R.Ambedkar Konaseema,08,747,P.Gannavaram,17,04934
Andhra Pradesh,28,28,Dr.B.R.Ambedkar Konaseema,08,747,Ambajipeta,16,04935
Andhra Pradesh,28,28,Dr.B.R.Ambedkar Konaseema,08,747,Amalapuram,15,04941
Andhra Pradesh,28,28,Dr.B.R.Ambedkar Konaseema,08,747,Uppalaguptam,14,04942
